Z: 1       l: ( 717.048 , 435.945 ) r: ( 546.047 , 435.945 ) dr: ( 17.1001 , 0 )
Z: 1.1     l: ( 717.048 , 435.945 ) r: ( 561.592 , 435.945 ) dr: ( 14.1323 , 0 )
Z: 1.2     l: ( 717.048 , 435.945 ) r: ( 574.547 , 435.945 ) dr: ( 11.8751 , 0 )
Z: 1.3     l: ( 717.048 , 435.945 ) r: ( 585.508 , 435.945 ) dr: ( 10.1184 , 0 )
Z: 1.4     l: ( 717.048 , 435.945 ) r: ( 594.904 , 435.945 ) dr: ( 8.72454 , 0 )
Z: 1.5     l: ( 717.048 , 435.945 ) r: ( 603.047 , 435.945 ) dr: ( 7.60004 , 0 )
Z: 1.6     l: ( 717.048 , 435.945 ) r: ( 610.172 , 435.945 ) dr: ( 6.67973 , 0 )
Z: 1.7     l: ( 717.048 , 435.945 ) r: ( 616.459 , 435.945 ) dr: ( 5.91699 , 0 )
Z: 1.8     l: ( 717.048 , 435.945 ) r: ( 622.047 , 435.945 ) dr: ( 5.27781 , 0 )
Z: 1.9     l: ( 717.048 , 435.945 ) r: ( 627.047 , 435.945 ) dr: ( 4.73687 , 0 )
Z: 2       l: ( 717.048 , 435.945 ) r: ( 631.547 , 435.945 ) dr: ( 4.27502 , 0 )
Z: 2.1     l: ( 717.048 , 435.945 ) r: ( 635.619 , 435.945 ) dr: ( 3.87757 , 0 )
Z: 2.2     l: ( 717.048 , 435.945 ) r: ( 639.32  , 435.945 ) dr: ( 3.53308 , 0 )
Z: 2.3     l: ( 717.048 , 435.945 ) r: ( 642.699 , 435.945 ) dr: ( 3.23253 , 0 )
Z: 2.4     l: ( 717.048 , 435.945 ) r: ( 645.797 , 435.945 ) dr: ( 2.96877 , 0 )
Z: 2.5     l: ( 717.048 , 435.945 ) r: ( 648.647 , 435.945 ) dr: ( 2.73602 , 0 )
Z: 2.6     l: ( 717.048 , 435.945 ) r: ( 651.278 , 435.945 ) dr: ( 2.5296  , 0 )
Z: 2.7     l: ( 717.048 , 435.945 ) r: ( 653.714 , 435.945 ) dr: ( 2.34569 , 0 )
Z: 2.8     l: ( 717.048 , 435.945 ) r: ( 655.976 , 435.945 ) dr: ( 2.18113 , 0 )
Z: 2.9     l: ( 717.048 , 435.945 ) r: ( 658.082 , 435.945 ) dr: ( 2.03331 , 0 )
Z: 3       l: ( 717.048 , 435.945 ) r: ( 660.047 , 435.945 ) dr: ( 1.90001 , 0 )
Z: 3.1     l: ( 717.048 , 435.945 ) r: ( 661.886 , 435.945 ) dr: ( 1.77941 , 0 )
Z: 3.2     l: ( 717.048 , 435.945 ) r: ( 663.61  , 435.945 ) dr: ( 1.66993 , 0 )
Z: 3.3     l: ( 717.048 , 435.945 ) r: ( 665.229 , 435.945 ) dr: ( 1.57026 , 0 )
Z: 3.4     l: ( 717.048 , 435.945 ) r: ( 666.753 , 435.945 ) dr: ( 1.47925 , 0 )
Z: 3.5     l: ( 717.048 , 435.945 ) r: ( 668.19  , 435.945 ) dr: ( 1.39593 , 0 )
Z: 3.6     l: ( 717.048 , 435.945 ) r: ( 669.547 , 435.945 ) dr: ( 1.31945 , 0 )
Z: 3.7     l: ( 717.048 , 435.945 ) r: ( 670.831 , 435.945 ) dr: ( 1.24909 , 0 )
Z: 3.8     l: ( 717.048 , 435.945 ) r: ( 672.047 , 435.945 ) dr: ( 1.18422 , 0 )
Z: 3.9     l: ( 717.048 , 435.945 ) r: ( 673.201 , 435.945 ) dr: ( 1.12427 , 0 )
Z: 4       l: ( 717.048 , 435.945 ) r: ( 674.297 , 435.945 ) dr: ( 1.06876 , 0 )
Z: 4.1     l: ( 717.048 , 435.945 ) r: ( 675.34  , 435.945 ) dr: ( 1.01726 , 0 )
Z: 4.2     l: ( 717.048 , 435.945 ) r: ( 676.333 , 435.945 ) dr: ( 0.969393 , 0 )
Z: 4.3     l: ( 717.048 , 435.945 ) r: ( 677.28  , 435.945 ) dr: ( 0.92483 , 0 )
Z: 4.4     l: ( 717.048 , 435.945 ) r: ( 678.184 , 435.945 ) dr: ( 0.88327 , 0 )
Z: 4.5     l: ( 717.048 , 435.945 ) r: ( 679.047 , 435.945 ) dr: ( 0.844449 , 0 )
Z: 4.6     l: ( 717.048 , 435.945 ) r: ( 679.873 , 435.945 ) dr: ( 0.808133 , 0 )
Z: 4.7     l: ( 717.048 , 435.945 ) r: ( 680.664 , 435.945 ) dr: ( 0.77411 , 0 )
Z: 4.8     l: ( 717.048 , 435.945 ) r: ( 681.422 , 435.945 ) dr: ( 0.742192 , 0 )
Z: 4.9     l: ( 717.048 , 435.945 ) r: ( 682.149 , 435.945 ) dr: ( 0.712207 , 0 )
Z: 5       l: ( 717.048 , 435.945 ) r: ( 682.847 , 435.945 ) dr: ( 0.684004 , 0 )
